what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059266824
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1256059276574
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.3,org.tigris.subversion.clientadapter.javahl,1256059277885
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.2,org.tigris.subversion.clientadapter.svnkit,1256059277885
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1256059279148
started,bundle,org.tigris.subversion.subclipse.ui,1.4.5,org.tigris.subversion.subclipse.ui,1256059279179
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059286418
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1256059286449
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1256059286589
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059313889
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059325028
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059327212
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059327227
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059330347
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059351236
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059360455
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059361173
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059409878
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059411485
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059769282
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059775731
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256059777354
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1256059777447
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1256059777478
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1256059777556
